yyyymm	Index	D12	E12	b/m	tbl	AAA	BAA	lty	ntis	Rfree	infl	ltr	corpr	svar	csp	CRSP_SPvw	CRSP_SPvwx
199511	605.37	13.7200	34.3667	0.2571688515	0.0536	0.0702	0.0768	0.0623	0.0169888120	0.0044666667	-0.0006508298	0.0249	0.0242	0.0005461724	-0.0000779813	0.044029	0.041189
199512	615.93	13.7900	33.9600	0.2550263829	0.0514	0.0682	0.0749	0.0603	0.0156410262	0.0042833333	-0.0006512537	0.0272	0.0228	0.0008205431	-0.0001466042	0.017643	0.015809
199601	636.02	13.8933	33.9867	0.2418771721	0.0500	0.0681	0.0747	0.0609	0.0162417929	0.0041666667	0.0058460706	-0.0011	0.0014	0.0013839441	-0.0000531418	0.034861	0.033415
199602	640.43	13.9967	34.0133	0.2378947371	0.0483	0.0699	0.0763	0.0659	0.0169150591	0.0040250000	0.0032331098	-0.0483	-0.0373	0.0012676223	-0.0002278549	0.010087	0.007689
199603	645.50	14.1000	34.0400	0.2392996154	0.0496	0.0735	0.0803	0.0684	0.0170038700	0.0041333333	0.0051513314	-0.0210	-0.0130	0.0017417080	0.0000305558	0.009585	0.007860
199604	654.17	14.1567	34.3300	0.2400758062	0.0495	0.0750	0.0819	0.0706	0.0212369853	0.0041250000	0.0038461586	-0.0165	-0.0160	0.0009818335	0.0000682249	0.015133	0.013857
199605	669.12	14.2133	34.6200	0.2369235155	0.0502	0.0762	0.0830	0.0717	0.0265015016	0.0041833333	0.0019175461	-0.0054	0.0005	0.0011253096	-0.0002545209	0.025257	0.022530
199606	670.63	14.2700	34.9100	0.2364437252	0.0509	0.0771	0.0840	0.0703	0.0272997890	0.0042416667	0.0006383658	0.0203	0.0172	0.0003947932	-0.0008478904	0.004128	0.002562
199607	639.95	14.4000	35.2733	0.2418198938	0.0515	0.0765	0.0835	0.0707	0.0312233252	0.0042916667	0.0019126560	0.0018	0.0010	0.0023551525	-0.0004704749	-0.044441	-0.046048
199608	651.99	14.5300	35.6367	0.2380611179	0.0505	0.0746	0.0818	0.0726	0.0309728861	0.0042083333	0.0019090047	-0.0139	-0.0070	0.0011215051	-0.0003522358	0.021928	0.019589
199609	687.31	14.6600	36.0000	0.2272973181	0.0509	0.0766	0.0835	0.0704	0.0296577296	0.0042416667	0.0031735983	0.0290	0.0259	0.0006862354	-0.0005386936	0.056035	0.054112
199610	705.27	14.7400	36.9100	0.2217476558	0.0499	0.0739	0.0807	0.0671	0.0257279874	0.0041583333	0.0031635585	0.0404	0.0361	0.0006066275	-0.0005314503	0.026798	0.025348
199611	757.02	14.8200	37.8200	0.2050079191	0.0503	0.0710	0.0779	0.0643	0.0220406929	0.0041916667	0.0018933423	0.0351	0.0263	0.0007037217	-0.0006139252	0.076455	0.074218
199612	740.74	14.9000	38.7300	0.2073427297	0.0491	0.0720	0.0789	0.0673	0.0241008722	0.0040916667	0.0000000000	-0.0256	-0.0186	0.0017090750	-0.0003967552	-0.019815	-0.021518
199701	786.16	14.9533	39.2333	0.1962401029	0.0503	0.0742	0.0809	0.0689	0.0243801339	0.0041916667	0.0031476261	-0.0079	-0.0028	0.0013600872	-0.0007941293	0.062779	0.061689
199702	790.82	15.0067	39.7367	0.1943954108	0.0501	0.0731	0.0794	0.0694	0.0228851457	0.0041750000	0.0031377497	0.0005	0.0028	0.0014747600	-0.0013029057	0.007752	0.005800
199703	757.12	15.0600	40.2400	0.2147802023	0.0514	0.0755	0.0818	0.0723	0.0211198386	0.0042833333	0.0025031302	-0.0252	-0.0221	0.0020014839	-0.0013083062	-0.041653	-0.043310
199704	801.34	15.0933	40.3433	0.2017410478	0.0516	0.0773	0.0834	0.0705	0.0169161089	0.0043000000	0.0012492194	0.0255	0.0184	0.0030050574	-0.0008719220	0.060274	0.059016
199705	848.28	15.1267	40.4467	0.1928785879	0.0505	0.0758	0.0820	0.0701	0.0132653849	0.0042083333	-0.0006244146	0.0097	0.0128	0.0020074201	-0.0008784074	0.061401	0.059272
199706	885.14	15.1600	40.5500	0.1842876150	0.0493	0.0741	0.0802	0.0688	0.0108474777	0.0041083333	0.0012484396	0.0195	0.0187	0.0019744425	-0.0006620977	0.044103	0.042762
199707	954.29	15.2167	40.5800	0.1719649430	0.0505	0.0714	0.0775	0.0637	0.0116078543	0.0042083333	0.0012468830	0.0626	0.0528	0.0020101663	-0.0006272571	0.080388	0.078977
199708	899.47	15.2733	40.6100	0.1855054038	0.0514	0.0722	0.0782	0.0672	0.0128921891	0.0042833333	0.0018674142	-0.0317	-0.0240	0.0024647279	-0.0004309205	-0.054970	-0.056458
199709	947.28	15.3300	40.6400	0.1779678570	0.0495	0.0715	0.0770	0.0649	0.0146506387	0.0041250000	0.0024844733	0.0316	0.0226	0.0026265123	-0.0007428601	0.053886	0.052408
199710	914.62	15.3833	40.3333	0.1900006773	0.0497	0.0700	0.0757	0.0623	0.0162805348	0.0041416667	0.0024783160	0.0341	0.0191	0.0093637077	-0.0005992388	-0.032605	-0.033730
199711	955.40	15.4367	40.0267	0.1807462988	0.0514	0.0687	0.0742	0.0614	0.0156862396	0.0042833333	-0.0006190034	0.0148	0.0101	0.0026621198	-0.0007918427	0.046321	0.044625
199712	970.43	15.4900	39.7200	0.1788008842	0.0516	0.0676	0.0732	0.0602	0.0155787276	0.0043000000	-0.0012391575	0.0184	0.0163	0.0022493911	-0.0008887790	0.017147	0.015700
199801	980.28	15.5400	39.6600	0.1788402734	0.0504	0.0661	0.0719	0.0589	0.0137581612	0.0042000000	0.0018581610	0.0200	0.0137	0.0024688899	-0.0007004554	0.011994	0.011080
199802	1,049.34	15.5900	39.6000	0.1654630971	0.0509	0.0667	0.0725	0.0599	0.0120744554	0.0042416667	0.0018547146	-0.0072	-0.0007	0.0010533641	-0.0008048460	0.071956	0.070303
199803	1,101.75	15.6400	39.5400	0.1811403960	0.0503	0.0672	0.0732	0.0602	0.0165059994	0.0041916667	0.0018512810	0.0025	0.0038	0.0011367878	-0.0007397901	0.051336	0.050104
199804	1,111.75	15.7433	39.3500	0.1758729222	0.0495	0.0669	0.0733	0.0604	0.0164270981	0.0041250000	0.0018478601	0.0026	0.0053	0.0016147577	-0.0009559644	0.011275	0.010232
199805	1,090.82	15.8467	39.1600	0.1791022057	0.0500	0.0669	0.0730	0.0592	0.0190989626	0.0041666667	0.0018444518	0.0182	0.0167	0.0009588242	-0.0008915195	-0.017674	-0.019206
199806	1,133.84	15.9500	38.9700	0.1780606060	0.0498	0.0653	0.0713	0.0576	0.0240314567	0.0041500000	0.0012277472	0.0228	0.0115	0.0020973304	-0.0011688478	0.040970	0.039800
199807	1,120.67	16.0167	38.6767	0.1794381089	0.0496	0.0655	0.0715	0.0584	0.0253631772	0.0041333333	0.0012262417	-0.0040	-0.0056	0.0022281428	-0.0023045245	-0.010109	-0.011112
199808	957.28	16.0833	38.3833	0.2114320916	0.0490	0.0652	0.0714	0.0547	0.0285295449	0.0040833333	0.0012247399	0.0465	0.0089	0.0093340166	-0.0018568563	-0.143124	-0.144504
199809	1,017.01	16.1500	38.0900	0.2032484042	0.0461	0.0640	0.0709	0.0517	0.0240923988	0.0038416667	0.0012232417	0.0395	0.0413	0.0099709513	-0.0016339078	0.063176	0.061612
199810	1,098.67	16.1667	37.9633	0.1855190768	0.0396	0.0637	0.0718	0.0540	0.0207491006	0.0033000000	0.0024420037	-0.0218	-0.0190	0.0051715952	-0.0013748512	0.080111	0.079144
199811	1,163.63	16.1833	37.8367	0.1748468445	0.0441	0.0641	0.0734	0.0535	0.0220122340	0.0036750000	0.0000000000	0.0097	0.0270	0.0019367347	-0.0012152598	0.062165	0.060686
199812	1,229.23	16.2000	37.7100	0.1736113154	0.0439	0.0622	0.0723	0.0542	0.0200631520	0.0036583333	-0.0006099421	-0.0032	0.0010	0.0032869067	-0.0010338728	0.059673	0.058454
