"e.ret"|"dp"|"dy"|"ep"|"de"|"tms"|"dfy"|"dfr"|"svar"|"bm"|"ntis"|"tbl"|"lty"|"ltr"|"infl"
0.027734017521321|-2.9730123516105|-2.95656952973495|-2.38683729060272|-0.586175061007778|0.0047|0.01|-0.0022|0.0004652074|0.441475827|0.0464245137|0.0307|0.0354|0.0078|0
0.0934183727424106|-2.9423744954803|-2.96334904716573|-2.37477328795034|-0.567601207529962|0.0028|0.00949999999999999|-0.0019|0.0004707151|0.4437056454|0.0463545621|0.0323|0.0351|0.0075|-0.0075902
0.0535314408909137|-2.97953468585769|-2.9329458542024|-2.43035278090182|-0.54918190495587|0.0018|0.0092|-0.0019|0.0002875602|0.4285008644|0.0476922426|0.0329|0.0347|0.0088|-0.0076482
0.0636023919031492|-2.97653509673849|-2.9700532591363|-2.44507868827909|-0.531456408459399|0.0011|0.0092|-0.017|0.0009217667|0.4697651174|0.0449966444|0.032|0.0331|0.0253|-0.0057748
0.0955050440873137|-2.98422498968485|-2.96714272377398|-2.47130862712675|-0.5129163625581|-0.000599999999999996|0.009|0.006|0.0006094008|0.4567541302|0.0461966756|0.0339|0.0333|-5e-04|0
0.0362528288123889|-3.02596333390355|-2.97505825882949|-2.53144582820111|-0.494517505702436|-0.000600000000000003|0.0093|-0.012|0.0003983256|0.4347826087|0.0457100715|0.0333|0.0327|0.0109|0.0076923
0.106278433800704|-3.00730884138299|-3.01674287361635|-2.53132994894717|-0.475978892435823|0.0027|0.0097|0.0112|0.0008275283|0.4523852494|0.0657103402|0.0307|0.0334|-0.0069|0.009533
0.0855386625216501|-3.06114424236356|-2.99817262183666|-2.60370736776094|-0.457436874602615|0.0037|0.0095|-0.0047|0.0004252945|0.414553473|0.068416182|0.0296|0.0333|0.005|-0.0191577
0.0829021223533506|-3.09576447930007|-3.05222526432108|-2.65674169076225|-0.439022788537811|0.0059|0.0092|7e-04|0.0012778349|0.3962274092|0.0611098977|0.027|0.0329|0.0076|-0.0058196
-0.0115476066887783|-3.12909698562141|-3.08679100450096|-2.70775852835696|-0.421338457264455|0.0062|0.0088|0.0131|0.0011247262|0.380586062|0.1001745486|0.0268|0.033|0.0018|0.0058196
0.106150192650796|-3.06564978680816|-3.12020331845129|-2.66287540174551|-0.402774385062652|0.0017|0.0087|-0.0044|0.0015625344|0.4138006933|0.1004759995|0.0308|0.0325|0.0099|0.0057859
0.0589024843229715|-3.12254324390523|-3.05696552170421|-2.73821795963749|-0.384325284267735|0.0016|0.0086|-0.0029|0.0009298366|0.3793955905|0.0878267087|0.0304|0.032|0.0097|-0.0019249
0.0353929905602128|-3.13266695931022|-3.11380386786192|-2.76694217985157|-0.36572477945865|-9.99999999999959e-05|0.0086|-4e-04|0.0006061891|0.3746885899|0.0739547297|0.0317|0.0316|0.0072|-0.0019286
0.0238103657398817|-3.11889400575554|-3.12400329873235|-2.74132392015314|-0.377570085602405|-0.001|0.0089|0.0063|0.0008614511|0.3786696208|0.0564361787|0.0331|0.0321|-0.0036|-0.0019324
0.140611272582482|-3.09263120026423|-3.11043241680795|-2.70429134168152|-0.388339858582701|-0.0015|0.0087|0.000699999999999999|0.0006888497|0.3860765992|0.0503170706|0.0333|0.0318|0.0061|-0.0097182
0.0684304349623029|-3.18698011697323|-3.08411401917635|-2.78828895517402|-0.39869116179921|-0.001|0.0086|-0.000399999999999999|0.0013907813|0.363254838|0.0464693095|0.0327|0.0317|0.0045|0
0.0487134064572157|-3.21043057394295|-3.17853486604798|-2.80083193455318|-0.409598639389771|-0.00430000000000001|0.0087|0.0018|0.0014882798|0.3680952606|0.0437327457|0.0362|0.0319|-4e-04|0.0019512
-0.00326134273559627|-3.21475930935636|-3.2021805271495|-2.79524341280459|-0.419515896551774|-0.0063|0.0093|-9.99999999999994e-05|0.0019058666|0.3543969792|0.0428048145|0.039|0.0327|-0.0077|0.0058309
0.0501750544230311|-3.16511034133526|-3.20645330486964|-2.73525378010294|-0.429856561232324|-0.0066|0.0098|-0.0065|0.0036484819|0.3702999477|0.0433745724|0.0392|0.0326|0.0041|-0.0077821
0.106558445032687|-3.16930171200726|-3.15687275863752|-2.72937740737431|-0.439924304632941|-0.0068|0.0097|0.0207|0.0016851643|0.3606481481|0.0519191577|0.0412|0.0344|-0.0217|0
0.0579784678315501|-3.23274734576687|-3.16125288806711|-2.78367050271553|-0.449076843051337|-0.0095|0.0097|7e-04|0.0012333717|0.3240297825|0.0504018776|0.0436|0.0341|0.0076|0.0019512
0.0483601702609276|-3.24831764752255|-3.2246422992806|-2.79043537880916|-0.457882268713391|-0.0111|0.0098|0.0071|0.0006511953|0.3281658101|0.0214187229|0.0457|0.0346|-0.0041|0.007767
0.143861812203732|-3.25467987225203|-3.24027776501164|-2.78745888471923|-0.467220987532797|-0.0134|0.0097|-0.0075|0.0006851369|0.3089308376|0.0275534066|0.047|0.0336|0.0158|-0.0019361
0.0336473147027151|-3.36008547859284|-3.24682268897299|-2.88437658533857|-0.475708893254273|-0.0088|0.0097|-0.0039|0.0015168523|0.2655259391|0.0325931452|0.0426|0.0338|3e-04|-0.0019399
0.0845035536339102|-3.35505077902637|-3.35217189568907|-2.87044835035949|-0.484602428666888|-0.0086|0.0099|0.008|0.0040695473|0.2596666667|0.0426393693|0.0426|0.034|4e-04|-0.0038911
0.0239362986444286|-3.39886909190256|-3.34335473926318|-2.91228850648464|-0.486580585417928|-0.0117|0.0101|0.0133|0.0017545196|0.2453466033|0.0625380106|0.0466|0.0349|-0.009|-0.0019512
0.0277150713370205|-3.38146371750521|-3.38730826950149|-2.89295422206176|-0.488509495443443|-0.0076|0.01|0.0187|0.0026324705|0.2454238997|0.0670247009|0.0439|0.0363|-0.0157|-0.001955
0.0456744119146029|-3.36768760276328|-3.37003502168158|-2.87660097195454|-0.49108663080874|-0.0083|0.0109|0.0057|0.0035832549|0.2723004695|0.0772306356|0.046|0.0377|-0.0144|-0.0039216
-0.0123612487841126|-3.37231999514425|-3.35638804750934|-2.87940665167523|-0.492913343469019|-0.0122|0.0111|-0.0256|0.0022888276|0.2633969119|0.0962366245|0.048|0.0358|0.0275|-0.003937
0.134911544435796|-3.3174131151779|-3.36114669454612|-2.82271687334179|-0.494696241836107|-0.0136|0.011|0.0207|0.0047066449|0.2827746209|0.1142213298|0.0509|0.0373|-0.0162|0.0058997
0.0721837490793136|-3.41285082745239|-3.30636327899132|-2.9164139411385|-0.496436886313891|-0.0113|0.0117|-0.0156|0.0013221115|0.2535805819|0.114807632|0.048|0.0367|0.011|0.0039139
0.118480199541362|-3.44653092296368|-3.4019217569202|-2.94839415900937|-0.498136763954308|-0.0086|0.0118|0.002|0.0012717834|0.2418751798|0.1100892047|0.0455|0.0369|0|0.0097182
-0.0232336710722214|-3.52920278138509|-3.43572000685946|-3.02940548866058|-0.499797292724512|-0.0095|0.0125|0.0054|0.0033394622|0.2211237609|0.1144649571|0.047|0.0375|-0.0034|0.003861
-0.187283748888274|-3.46839194685784|-3.51850749226834|-2.96697212137873|-0.501419825479115|-0.0083|0.0132|7e-04|0.0033690889|0.2448682487|0.12054683|0.0458|0.0375|0.0027|-0.0019286
-0.101598896418995|-3.23557767448613|-3.45780983752731|-2.73193568609157|-0.503641988394565|-0.009|0.0134|-0.0309|0.0527217446|0.307484187|0.1585800875|0.0437|0.0347|0.0382|0
0.0667259609037821|-3.08152763371698|-3.22510637461884|-2.57634288984107|-0.505184743875905|-0.0016|0.0127|-0.0254|0.0358165545|0.3519564763|0.1760193866|0.0347|0.0331|0.0236|-0.0019324
0.0994915014005636|-3.09618385285873|-3.07116484668143|-2.58949046637765|-0.50669338648108|0.0037|0.0128|0.0281|0.0100900159|0.3384578236|0.1655764275|0.0303|0.034|-0.0089|-0.0058196
0.0593687874595747|-3.15595664838728|-3.09535945050372|-2.68356095040573|-0.472395697981552|0.000800000000000002|0.0126|0.0116|0.0014198303|0.3148162012|0.1540586776|0.0339|0.0347|-0.0057|-0.0038986
0.112364187477634|-3.17630278699998|-3.15503000739434|-2.7401315120924|-0.436171274907581|0.000300000000000002|0.012|-0.0057|0.0017165788|0.3102061894|0.1465243634|0.0336|0.0339|0.0129|-0.0039139
0.0262544655833815|-3.25234540665164|-3.17547982635277|-2.85289664672962|-0.399448759922019|0.004|0.0111|0.0055|0.0014639222|0.3191191891|0.1315931164|0.0295|0.0335|0.0083|-0.0058997
0.0203994214091023|-3.24193072302035|-3.25152312271179|-2.88054072319584|-0.361389999824514|0.0038|0.011|0.01|0.0019151318|0.3269705977|0.1162317972|0.03|0.0338|-0.0016|0.0058997
-0.134813531902427|-3.22440352857377|-3.24100646108036|-2.90335895342298|-0.321044575150795|0.0088|0.0112|-0.0082|0.0045839653|0.3319155124|0.1115318509|0.0241|0.0329|0.0139|-0.0058997
0.0794568456900614|-3.04378956850777|-3.22358267894837|-2.7638295421499|-0.279960026357871|0.0139|0.0121|0.0059|0.0142501521|0.4033754529|0.1139038815|0.0189|0.0328|0.0051|-0.0059347
0.0509317026970617|-3.07897040017699|-3.04296939212388|-2.84178367516624|-0.237186725010751|0.0144|0.0125|0.0022|0.004858827|0.3901876149|0.125014047|0.0183|0.0327|0.0034|-0.0139862
-0.0895919558902006|-3.08556380585976|-3.0780485051053|-2.89393448433481|-0.191629321524955|0.0175|0.0126|0.0123|0.0040028433|0.3797521005|0.1062012295|0.0153|0.0328|0.0013|-0.0060545
-0.0382502145231715|-2.94538078885597|-3.08474505645367|-2.8004061690091|-0.144974619846865|0.0147|0.0123|0.0034|0.0036910133|0.4455832113|0.1100543611|0.0177|0.0324|0.0074|0.0060545
0.0341646889301343|-2.85161659674266|-2.94456270925211|-2.75549829104966|-0.0961183056930054|0.015|0.0152|0.0019|0.0127614005|0.4979547314|0.1170594289|0.0174|0.0324|0.0035|-0.0060545
-0.0164350552717639|-2.82861319866255|-2.85069705644798|-2.78485434446898|-0.0437588541935648|0.0182|0.0178|-0.0054|0.0071407536|0.5046708308|0.1180042621|0.014|0.0322|0.0042|-0.0081301
0.1050464926993|-2.75066650325663|-2.82779653875599|-2.76092300342382|0.0102565001671891|0.0182|0.0219|-0.002|0.0081312685|0.5547454126|0.13152474|0.0148|0.033|-0.007|-0.0143887
0.159197029184253|-2.81206503051587|-2.76433086545069|-2.84007336472238|0.0280083342065102|0.0219|0.0199|0.0324|0.005208299|0.5391520019|0.1079929466|0.0124|0.0343|-0.0121|-0.0145988
-0.0180226304637839|-2.93430091709965|-2.8260235904869|-2.98078596708828|0.0464850499886367|0.0232|0.0195|-0.0017|0.0028905938|0.4796679626|0.0997844817|0.0106|0.0338|0.0085|-0.0148151
-0.0424187062316818|-2.87668514139183|-2.94835069133513|-2.94264310918363|0.0659579677917974|0.0194|0.0205|-0.000999999999999999|0.0041846449|0.529125087|0.0928131523|0.0138|0.0332|0.0104|-0.0064171
-0.080483678807036|-2.79015766316925|-2.89093512806323|-2.87655120227753|0.0863935391082836|0.0178|0.0232|-0.0019|0.0067052456|0.6032144983|0.0988028042|0.0149|0.0327|0.0086|-0.0064586
0.188624851992387|-2.65717750206493|-2.80472313806426|-2.76493757550426|0.107760073439335|0.0229|0.0278|-0.0011|0.0068890755|0.7099486221|0.0946301281|0.0088|0.0317|0.0145|-0.0108579
-0.0148290538458729|-2.80201267180767|-2.67184715243825|-2.93237448967091|0.130361817863244|0.0264|0.03|0.0048|0.0233216512|0.6072712745|0.0842861796|0.0055|0.0319|4e-04|-0.0109771
0.0701770794253769|-2.73983179237606|-2.81690072874602|-2.89402006548164|0.154188273105585|0.0284|0.0272|0.0094|0.0070690068|0.6736095723|0.048969004|0.0041|0.0325|-0.0042|-0.0022099
-0.271362123584684|-2.76448313332421|-2.75505935934233|-2.94371773860146|0.17923460527725|0.0284|0.0307|0|0.0045667776|0.654185496|0.0352910234|0.0042|0.0326|0.0012|-0.0022148
0.156995457742162|-2.42397917203782|-2.77982988349634|-2.62983122624197|0.205852054204149|0.0308|0.0352|0.0267|0.0234725937|0.9440016561|0.0619536685|0.0045|0.0353|-0.0281|-0.0044445
-0.0203305493965025|-2.52063716447979|-2.43956512063714|-2.75470589274301|0.23406872826322|0.0215|0.0405|-0.0033|0.04282486|0.8771761085|0.0286142123|0.017|0.0385|-0.033|-0.0067039
-0.0627625287158288|-2.43365335620047|-2.53658988373986|-2.69757890123491|0.263925545034444|0.0208|0.0399|-0.0216|0.0114442218|0.9715564078|0.0355226616|0.0177|0.0385|0.0027|-0.0112741
0.0650069524965749|-2.29278109289743|-2.44974273733033|-2.58862647598837|0.295845383090942|0.0166|0.051|-0.0066|0.0212530522|1.1707317073|-0.011031583|0.0241|0.0407|-0.022|-0.0091117
0.135894044478114|-2.29714995353196|-2.32588397284777|-2.58765124057532|0.29050128704336|0.0142|0.0393|-0.0086|0.0174865594|1.1913781842|-0.0100551362|0.0248|0.039|0.0034|-0.02081
-0.031251122098412|-2.38070965756449|-2.33125582327507|-2.66548304750797|0.284773389943482|0.0125|0.0364|-0.0651|0.0268540647|1.1198428291|-0.0165188581|0.0242|0.0367|0.0413|-0.0141179
-0.111726220849042|-2.29034836654561|-2.41615506193112|-2.56906176901463|0.27871340246902|0.0145|0.0385|0.0374|0.0134300596|1.1858624454|-0.0062931405|0.0225|0.037|-0.0018|-0.0047506
-0.122978460280016|-2.10087019006055|-2.32709646345983|-2.37311062578706|0.272240435726515|0.0225|0.0529|-0.078|0.0198296257|1.5537278741|-0.0242831086|0.0111|0.0336|0.0604|-0.0071685
0.129606128768253|-1.87324617198098|-2.13887476371791|-2.13851256111827|0.265266389137287|0.0318|0.0564|0.0295|0.0232088383|1.9423334823|-0.0326511512|0.0031|0.0349|-0.0188|-0.014493
0.418482464678198|-1.90391502801871|-1.91290385258714|-2.16174413732081|0.2578291093021|0.0313|0.0559|-0.0074|0.0342892066|2.0284780579|-0.0387903045|0.0034|0.0347|0.0065|-0.007326
0.388452412356659|-2.26509980663902|-1.9452106195168|-2.51492654192171|0.249826735282692|0.0298|0.0553|-0.0438|0.0200946428|1.6125440713|-0.0132959921|0.0022|0.032|0.0481|0
0.0316492024077236|-2.626761364513|-2.30800961521315|-2.86790843725047|0.241147072737472|0.0307|0.0331|0.0433|0.0405512876|1.1878075451|-0.0037742015|0.0014|0.0321|3e-04|-0.0123306
-0.0727254224218348|-2.63411904797468|-2.67176769592079|-2.865920662032|0.231801614057324|0.0316|0.0291|0.0244|0.0439115876|1.2143655674|-0.0015677162|3e-04|0.0319|0.0057|-0.0049751
0.0166198897399461|-2.5320344034244|-2.68124680161108|-2.75368801157746|0.221653608153056|0.0321|0.0323|0.0091|0.0358949332|1.4038772213|-0.0055309404|1e-04|0.0322|-0.0017|-0.0075094
0.120629352568492|-2.52058920213995|-2.58130362683912|-2.73113913843534|0.210549936295389|0.0321|0.0361|0.0041|0.0236274108|1.5421472937|-0.0060974445|1e-04|0.0322|0.0032|-0.0050378
0.0760691632878722|-2.62321826558551|-2.57261223020711|-2.82166920430935|0.198450938723838|0.0311|0.0383|0.000799999999999999|0.0102844844|1.4420843014|-0.0039587875|4e-04|0.0315|0.0131|-0.0101524
-0.120858025965565|-2.64049929093216|-2.63326860143901|-2.82282084772611|0.182321556793955|0.0301|0.0357|0.0399|0.0059661122|1.4269293924|-0.0054079906|7e-04|0.0308|0.0148|-0.0154245
0.111549877866518|-2.44677378009256|-2.65065166239618|-2.61290065096653|0.166126870873974|0.0324|0.0389|-0.0265|0.0159015145|1.6909904651|-0.0046779486|1e-04|0.0325|-0.0258|-0.0156661
0.407935130535323|-2.49004804928842|-2.45703028025975|-2.63991239593499|0.149864346646573|0.0187|0.0423|-0.005|0.0378897034|1.476534296|-0.0207964496|0.0134|0.0321|0.0097|-0.0079261
0.195115578283285|-2.85263142991332|-2.50041083632397|-2.98616282253784|0.133531392624523|0.028|0.0434|-0.0063|0.0292672175|1.1190150479|0.002791705|0.0045|0.0325|-0.0032|-0.002656
0.165877988477051|-3.01036158356995|-2.86310272978061|-3.12748694080736|0.117125357237413|0.0279|0.0311|0.0285|0.0121300568|0.9283849733|-0.0014230091|0.0029|0.0308|0.0303|0.002656
-0.0465910458986502|-3.14470238412301|-3.02094369290049|-3.2453459099027|0.100643525779687|0.0299|0.0261|0.014|0.0200316916|0.8335031588|0.002095225|7e-04|0.0306|0.005|0.0105542
0.149104552532023|-3.06329042456528|-3.15539767323976|-3.14737354177582|0.0840831172105415|0.029|0.0226|0.0178|0.0334197535|0.9011788036|0.0038650624|0.0019|0.0309|-0.0017|0.0284625
-0.0753906110018131|-3.18257259086127|-3.0741013406695|-3.2500138716568|0.0674412807955327|0.0307|0.0247|0.0049|0.0120831215|0.7987501221|0.0032274747|1e-04|0.0308|0.0044|0.0101524
-0.0437409777494276|-3.07289679419026|-3.19350166139346|-3.12361188676928|0.0507150925790165|0.0304|0.0291|-0.0037|0.0143661565|0.8679966044|0.0007345594|4e-04|0.0308|0.0023|0
0.141614595363753|-2.99127792320461|-3.08394663037685|-3.02517947488029|0.0339015516756813|0.0306|0.0315|0.0131|0.0280337752|0.9278584392|0.0047424047|9e-04|0.0315|-0.0091|0
0.0644233938501328|-3.10019350857567|-3.00245122380274|-3.11719108494424|0.0169975763685711|0.0305|0.0344|-0.0099|0.0097297979|0.8335031588|0.0070810947|0.0022|0.0327|-0.0149|0
0.138800455532119|-3.13351597591704|-3.11149306382961|-3.13351597591704|0|0.0307|0.0325|0.037|0.0056601319|0.8290260464|0.0074366046|0.0029|0.0336|-0.0113|-0.0050633
0.00231740614222271|-3.23239563422454|-3.13169944499065|-3.22471198060292|-0.00768365362162216|0.0249|0.0266|0|0.0066146206|0.7629173662|0.0046759249|0.0072|0.0321|0.0257|0.0050633
0.0392083763966791|-3.19295991511329|-3.23035597346077|-3.17812818255438|-0.014831732558913|0.0255|0.0207|0.0065|0.0055501275|0.790643727|0.0067453584|0.0062|0.0317|0.0081|0.0075472
0.0140347489466256|-3.19022056910782|-3.19115036926779|-3.16787327041583|-0.0223472986919967|0.0283|0.0213|-0.000999999999999997|0.0063885194|0.8025122121|0.010763446|0.0024|0.0307|0.0197|0
-0.0397013253960862|-3.16106699586791|-3.1884142918048|-3.13128701742796|-0.0297799784399454|0.0285|0.0194|-0.0022|0.0019057031|0.8010747338|0.0087697002|0.0015|0.03|0.0126|-0.0025094
0.0648361763539919|-3.07428459050401|-3.15903882615859|-3.03759539258266|-0.0366891979213545|0.0276|0.0204|-0.0041|0.0073704752|0.8563829787|0.0088107606|0.0016|0.0292|0.0131|0.0025094
-0.0724216989068888|-3.09308327039317|-3.0724852197981|-3.04912014697205|-0.0439631234211161|0.0274|0.0213|0.0091|0.0069348318|0.8407310705|0.0072145776|0.0015|0.0289|0.0067|0.0025031
0.100239439939351|-2.96890638670263|-3.09128713160764|-2.91774769087508|-0.0511586958275519|0.0273|0.0224|7e-04|0.0116117458|0.9142532652|0.004299853|0.0015|0.0288|0.004|0
0.042350476140818|-3.01962192991149|-2.96688957929632|-2.96177972135736|-0.0578422085541294|0.028|0.0256|0.0165|0.0065443819|0.8668964032|0.0213476851|0.0019|0.0299|-0.0118|0.0024969
0.0170210582769662|-3.01235315479003|-3.01783262055466|-2.94746553258416|-0.0648876222058749|0.0289|0.0261|0.0085|0.0048824776|0.8703643637|0.0207088784|0.0021|0.031|-0.0146|0.0148518
0.125408757824081|-2.97818006776883|-3.01056704134355|-2.90632120529405|-0.0718588624747813|0.0273|0.025|-0.008|0.0043907557|0.8622536418|0.025226124|0.0027|0.03|0.0182|-0.0073983
0.0418874173760215|-3.05578054157804|-2.97617449606594|-2.97745174787426|-0.0783287937037841|0.0274|0.0251|0.0092|0.0020140084|0.7820089372|0.0219289805|0.0025|0.0299|0.0037|-0.0024783
0.00508270307349495|-3.04979949482427|-3.05400118167797|-2.96464168648396|-0.0851578083403068|0.027|0.0242|-0.0011|0.0026199889|0.7737408689|0.0220239526|0.0023|0.0293|0.0112|-0.0024845
0.00968320207818528|-3.00678210974058|-3.04979949482427|-2.77039333167635|-0.23638877806423|0.0261|0.0221|0.0029|0.0022156496|0.791621595|0.0224762538|0.002|0.0281|0.0182|0.0148151
0.020260764736323|-2.96641788588522|-3.00678210974058|-2.5986931057599|-0.367724780125317|0.0256|0.0226|0.0049|0.0032990783|0.7862863841|0.0162685804|0.0019|0.0275|0.0092|0.007326
0.138219180573341|-2.93503820488173|-2.96641788588522|-2.45124125350366|-0.483796951378071|0.0259|0.0253|2e-04|0.0039842566|0.8007541179|0.0137668487|0.0015|0.0274|0.0041|-0.0024361
0.0769258437668768|-3.03372959742217|-2.94239855928803|-2.50664995207977|-0.527079645342403|0.0254|0.0247|0.0033|0.0031601212|0.7373229785|0.0205408417|0.0015|0.0269|0.0079|0.0097088
0.107633481142742|-3.0731861292139|-3.04137008402924|-2.50391710659171|-0.569269022622185|0.0261|0.0229|0.0099|0.0029236883|0.7293926247|0.0207161006|0.0015|0.0276|-0.0057|-0.0048426
0.118635083116059|-3.14630513203337|-3.0806581440526|-2.53604561127919|-0.610259520754178|0.0255|0.0216|0.002|0.0028107111|0.6818181818|0.0205329151|0.0015|0.027|0.0092|-0.0024301
0.0594289367394375|-3.22612223338897|-3.14630513203337|-2.63669549999332|-0.58942673339565|0.0253|0.0211|0.0065|0.0016885226|0.6393091975|0.0187683654|0.0015|0.0268|0.0046|-0.0048781
0.0606658043989021|-3.24755162484487|-3.22612223338897|-2.67927217633157|-0.568279448513295|0.0265|0.0198|0.0091|0.0037357826|0.6336866902|0.0062647926|0.0016|0.0281|-0.0133|0
0.107692894694242|-3.27112320942149|-3.24755162484487|-2.72457950305342|-0.54654370636807|0.0262|0.0194|-9e-04|0.0024574228|0.6117343845|0.0093909163|0.002|0.0282|9e-04|0.0048781
0.0733438595223745|-3.32103120957708|-3.24865035356943|-2.79696035906107|-0.524070850516011|0.0259|0.0202|-0.0019|0.0032868058|0.5775010734|0.004245653|0.002|0.0279|0.0061|0
