"e.ret"|"dp"|"dy"|"ep"|"de"|"tms"|"dfy"|"dfr"|"svar"|"bm"|"ntis"|"tbl"|"lty"|"ltr"|"infl"|"ik"|"eqis"
0.280823174337874|-2.9730123516105|-2.89358719475014|-2.38683729060272|-0.586175061007778|0.0047|0.01|-0.00395083440000001|0.0165417778|0.441475827|0.0464245137|0.0307|0.0354|0.0776952395|-0.0150973837|NA|NA
0.313824205989695|-3.13266695931022|-2.86331343435407|-2.76694217985157|-0.36572477945865|-9.99999999999959e-05|0.0086|-0.0150122582|0.0094417125|0.3746885899|0.0739547297|0.0317|0.0316|0.0894486276|-0.0211756023|NA|0.2655123544
-0.11242845385347|-3.35505077902637|-3.03382112467359|-2.87044835035949|-0.484602428666888|-0.0086|0.0099|0.027584316|0.0198249783|0.2596666667|0.0426393693|0.0426|0.034|0.0008272461|-0.0097931643|NA|0.4974292871
-0.288024844581055|-3.09618385285873|-3.22299105701331|-2.58949046637765|-0.50669338648108|0.0037|0.0128|-0.0013694267|0.1228964784|0.3384578236|0.1655764275|0.0303|0.034|0.0340994674|0.0018297138|NA|0.7205929402
-0.563742384852942|-2.75066650325663|-3.08592735269155|-2.76092300342382|0.0102565001671891|0.0182|0.0219|0.0333213295|0.0659356867|0.5547454126|0.13152474|0.0148|0.033|0.0464291951|-0.060665091|NA|0.3078474884
-0.094602339234803|-2.29278109289743|-2.92891473466295|-2.58862647598837|0.295845383090942|0.0166|0.051|0.0346475294|0.1598300221|1.1707317073|-0.011031583|0.0241|0.0407|-0.0531573493|-0.0957114941|NA|0.1446646984
0.422210654975623|-2.62321826558551|-2.78747733473353|-2.82166920430935|0.198450938723838|0.0311|0.0383|-0.0602498723|0.3094627007|1.4420843014|-0.0039587875|4e-04|0.0315|0.1684521131|-0.1035777048|NA|0.0372670807
-0.0172602317253959|-3.13351597591704|-2.7510516370954|-3.13351597591704|0|0.0307|0.0325|0.1044535892|0.2244790322|0.8290260464|0.0074366046|0.0029|0.0336|-0.0006930265|0.0042985847|NA|0.401055409
0.379098165406415|-3.04979949482427|-3.11104312006499|-2.96464168648396|-0.0851578083403068|0.027|0.0242|0.038284482|0.0668276358|0.7737408689|0.0220239526|0.0023|0.0293|0.1001499787|0.0201040904|NA|0.0712830957
0.286110421736081|-3.35251359481318|-3.00631438288453|-2.87192785623691|-0.480585738576273|0.0261|0.0186|0.0461876851|0.0356439893|0.5599111913|0.0097201239|0.0015|0.0276|0.0499608756|0.0296053183|NA|0.06619594
