"e.ret"|"dp"|"dy"|"ep"|"de"|"tms"|"dfy"|"dfr"|"svar"|"bm"|"ntis"|"tbl"|"lty"|"ltr"|"infl"|"ik"
0.0368876031146467|-3.07034313734517|-3.04787028149311|-2.66958392027441|-0.400759217070752|0.0174|0.0056|-0.0056991671|0.0125013167|0.6924379233|0.0378438683|0.0038|0.0212|0.0164884606|0.0517678518|NA
0.050442619830892|-3.04782386033248|-3.05635689537043|-2.48030289288994|-0.567520967442536|0.0175|0.006|0.0042052142|0.0058870646|0.7415349887|0.0314281093|0.0038|0.0213|0.0035017375|0.0199518279|0.0354824209
0.0423680002923111|-2.99638995197296|-2.9937566390622|-2.35730999268329|-0.63907995928967|0.0178|0.0066|0.0038182238|0.0068113148|0.7411167513|0.0268782359|0.0038|0.0216|0.0005873778|0.0045326151|0.0345625887
0.063571702412099|-2.95107910980572|-2.95767543979227|-2.27710184535349|-0.673977264452225|0.0133|0.0062|-0.0281346495|0.0041872093|0.7403233985|0.0244834168|0.008|0.0213|0.0099874455|0.0435565445|0.0335593383
0.03785441532498|-2.90220621554317|-2.88971016342943|-2.25161864940202|-0.65058756614115|0.0148|0.0066|0.0225817089|0.0024527551|0.725325679|0.0280877614|0.0095|0.0243|-0.0398317361|0.0187667939|0.0343374835
0.151464315971069|-2.87588829207759|-2.89037175789616|-2.17687599206524|-0.699012300012343|0.0141|0.007|0.0078502463|0.0048861817|0.8414221219|0.0295489903|0.01|0.0241|0.0100316713|-0.0001039872|0.0361387034
-0.0256830278054159|-2.9803199945591|-2.87588829207759|-2.19722457733622|-0.783095417222885|0.0138|0.0058|-0.0138418422|0.0029111609|0.7869735036|0.0264024789|0.01|0.0238|0.010106677|0.0283382945|0.0344882113
0.0375904345963147|-2.87945672176228|-2.95706313239484|-2.0126460471515|-0.866810674610785|0.0133|0.0061|0.0032750617|0.0063389851|0.8362310712|0.0218821264|0.0109|0.0242|-0.0006030103|0.0165346375|0.0342484579
0.0508694440751604|-2.79386612068707|-2.81276534726361|-1.89274361028608|-0.901122510400984|0.0121|0.0074|0.0102116274|0.0079437371|0.8409475465|0.0151165189|0.0116|0.0237|0.0139518298|-0.017766248|0.0348096513
0.00501581908475893|-2.73224492968927|-2.74149813516975|-1.84494173468836|-0.887303195000903|0.011|0.0077|-0.0123176472|0.0038435453|0.9017504235|0.0147604149|0.0117|0.0227|0.0206374173|-0.0097757845|0.032832754
0.15751427260657|-2.63061846096939|-2.69223959507557|-1.77495235091167|-0.85566611005772|0.01|0.0076|-0.0051921715|0.0032046125|0.9538884243|0.0164722624|0.0117|0.0217|0.0197522249|0.0013976384|0.0313031089
0.136066446736082|-2.70676732728932|-2.61120037511229|-1.87469467449918|-0.832072652790138|0.0105|0.0077|0.0024445172|0.0032619284|0.8750205468|0.0230360612|0.0107|0.0212|0.0133207497|-3.76019e-05|0.0295649909
0.0938150467187679|-2.68796683264753|-2.6149597780362|-1.97742790937572|-0.710538923271815|0.0099|0.0073|-0.0150385447|0.0019956156|0.7964292839|0.0271651799|0.011|0.0209|0.0092248107|-0.0098225527|0.0289203205
0.0856335067265361|-2.69312455088553|-2.66199134624427|-1.98723834454816|-0.705886206337375|0.0103|0.0066|0.0098282959|0.0020395147|0.8255277845|0.0292790277|0.0112|0.0215|-0.0032160202|-0.0028469647|0.0296314638
0.157746747334498|-2.69067795137774|-2.66780674290124|-1.94083542714125|-0.749842524236491|0.0101|0.0066|-0.0030971638|0.0072109977|0.8134474678|0.0303808423|0.0115|0.0216|0.0037941253|0.0113054669|0.0321290236
0.114381506238935|-2.68266812783079|-2.58782056593803|-1.96721518975655|-0.715452938074243|0.009|0.0057|0.0071264231|0.0055041765|0.7514578547|0.025912547|0.013|0.022|-0.0003420354|0.0251025769|0.0347642987
0.112491025770529|-2.63076257603111|-2.58258466927381|-1.97222092464864|-0.65854165138247|0.009|0.0053|0.006625157|0.0067066205|0.7225384419|0.0313662586|0.0134|0.0224|0.0002810931|0.0231088902|0.0343751955
0.0473944357209728|-2.64468058716962|-2.59731464196357|-2.02311421037266|-0.621566376796961|0.0101|0.0045|-0.0088317857|0.0035829887|0.7813946002|0.032688926|0.014|0.0241|-0.0173171262|0.0318352235|0.0331707155
0.163354297073394|-2.5979300381914|-2.61870510076636|-2.04198397914494|-0.55594605904646|0.0114|0.0055|0.0075986169|0.0033923914|0.8003626772|0.0363399157|0.0145|0.0259|-0.0192749595|0.003871848|0.0333577349
0.0749992074580801|-2.72802481223233|-2.62390552459466|-2.22645239394683|-0.501572418285507|0.009|0.0062|0.0106046109|0.0022447563|0.7161823278|0.0287850495|0.0163|0.0253|0.015645927|0.0077104605|0.0334560895
0.0775954179600399|-2.82483457698203|-2.80314544270044|-2.27642624206699|-0.548408334915034|0.0096|0.006|0.00380614|0.0029620943|0.7213163466|0.036118982|0.0173|0.0269|-0.018636657|0.0140331763|0.0324904154
0.0761488644146714|-2.84269599602395|-2.81776740975893|-2.31788413028322|-0.524811865740731|0.0104|0.0055|0.003565621|0.0021018372|0.7518741186|0.0320643946|0.0159|0.0263|0.0153505835|-0.0063251|0.0323718355
0.0361714170051213|-2.84571098706874|-2.82178931120463|-2.36712361413162|-0.478587372937127|0.0089|0.0056|-0.0097446151|0.0016595585|0.7387150879|0.0277088473|0.017|0.0259|0.0140476931|0.0076029831|0.0324938908
